,"Q3,17","Q4,17","Q1,18","Q2,18","Q3,18","Q4,18","Q1,19","Q2,19","Q3,19","Q4,19"
0,III,III,III,III,III,III,III,III,III,III
1,ABF,ABF,ABF,ABF,ABF,ABF,ABF,ABF,ABF,ABF
2,ADM,ADM,ADM,ADM,ADM,ADM,ADM,ADM,ADM,ADM
3,AAL,AAL,AAL,AAL,AAL,AAL,AAL,AAL,AAL,AAL
4,ANTO,ANTO,ANTO,ANTO,ANTO,ANTO,ANTO,ANTO,ANTO,ANTO
5,AHT,AHT,AHT,AHT,AHT,AHT,AHT,AHT,AHT,AHT
6,AZN,AZN,AZN,AZN,AZN,AZN,AZN,AZN,AZN,AZN
7,AUTO,AUTO,AUTO,AUTO,AUTO,AUTO,AUTO,AUTO,AUTO,AUTO
8,AV.,AV.,AV.,AV.,AV.,AV.,AV.,AV.,AVV,AVV
9,BA.,BA.,BA.,BA.,BA.,BA.,BA.,BA.,AV.,AV.
10,BARC,BAB,BARC,BARC,BARC,BARC,BARC,BARC,BA.,BA.
11,BDEV,BARC,BDEV,BDEV,BDEV,BDEV,BDEV,BDEV,BARC,BARC
12,BHP,BDEV,BKG,BKG,BKG,BKG,BKG,BKG,BDEV,BDEV
13,BP,BKG,BHP,BHP,BHP,BHP,BHP,BHP,BKG,BKG
14,BATS,BHP,BP,BP,BP,BP,BP,BP,BHP,BHP
15,BLND,BP,BATS,BATS,BATS,BATS,BATS,BATS,BP,BP
16,BT-A,BATS,BLND,BLND,BLND,BLND,BLND,BLND,BATS,BATS
17,BNZL,BLND,BT-A,BT-A,BT-A,BT-A,BT-A,BT-A,BLND,BLND
18,BRBY,BT-A,BNZL,BNZL,BNZL,BNZL,BNZL,BNZL,BT-A,BT-A
19,CCL,BNZL,BRBY,BRBY,BRBY,BRBY,BRBY,BRBY,BNZL,BNZL
20,CNA,BRBY,CCL,CCL,CCL,CCL,CCL,CCL,BRBY,BRBY
21,CCH,CCL,CNA,CNA,CNA,CNA,CNA,CNA,CCL,CCL
22,CPG,CNA,CCH,CCH,CCH,CCH,CCH,CCH,CNA,CNA
23,CRH,CCH,CPG,CPG,CPG,CPG,CPG,CPG,CCH,CCH
24,CRDA,CPG,CRH,CRH,CRH,CRH,CRH,CRH,CPG,CPG
25,DCC,CRH,CRDA,CRDA,CRDA,CRDA,CRDA,CRDA,CRH,CRH
26,DGE,CRDA,DCC,DCC,DCC,DCC,DCC,DCC,CRDA,CRDA
27,DLG,CTEC,DGE,DGE,DGE,DGE,DGE,DGE,DCC,DCC
28,EVR,DCC,DLG,DLG,DLG,DLG,DLG,DLG,DGE,DGE
29,EZJ,DGE,EVR,EVR,EVR,EVR,EVR,EVR,DLG,EVR
30,EXPN,DLG,EZJ,EZJ,EZJ,EZJ,EZJ,EZJ,EVR,EXPN
31,FERG,EVR,EXPN,EXPN,EXPN,EXPN,EXPN,EXPN,EXPN,FERG
32,FLTR,EZJ,FERG,FERG,FERG,FERG,FERG,FERG,FERG,FLTR
33,FRES,EXPN,FLTR,FLTR,FLTR,FLTR,FLTR,FLTR,FLTR,FRES
34,GSK,FERG,FRES,FRES,FRES,FRES,FRES,FRES,FRES,GSK
35,GLEN,FLTR,GFS,GFS,GSK,GSK,GSK,GSK,GSK,GLEN
36,GVC,FRES,GSK,GSK,GLEN,GLEN,GLEN,GLEN,GLEN,HLMA
37,HLMA,GFS,GLEN,GLEN,GVC,GVC,GVC,HIK,HLMA,HL.
38,HL.,GSK,HLMA,HLMA,HLMA,HLMA,HLMA,HLMA,HL.,HSBA
39,HSBA,GLEN,HMSO,HL.,HL.,HL.,HL.,HL.,HSBA,HIK
40,HSX,HMSO,HL.,HSBA,HSBA,HSBA,HSBA,HSBA,HSX,HSX
41,IMB,HL.,HSBA,IMB,IMB,IMB,HSX,HSX,IMB,IMB
42,INF,HSBA,IMB,INF,INF,INF,IMB,IMB,INF,INF
43,IHG,IMB,INF,IHG,IHG,IHG,INF,INF,IHG,IHG
44,IAG,INF,IHG,IAG,IAG,IAG,IHG,IHG,IAG,IAG
45,ITRK,IHG,IAG,ITRK,ITRK,ITRK,IAG,IAG,ITRK,ITRK
46,ITV,IAG,ITRK,ITV,ITV,ITV,ITRK,ITRK,ITV,ITV
47,JMAT,ITRK,ITV,JE.,JE.,JE.,ITV,ITV,JD.,JD.
48,KGF,ITV,JE.,JMAT,JMAT,JMAT,JMAT,JMAT,JMAT,JMAT
49,LAND,JMAT,JMAT,KGF,KGF,KGF,KGF,KGF,KGF,KGF
50,LGEN,KGF,KGF,LAND,LAND,LAND,LAND,LAND,LAND,LAND
51,LLOY,LAND,LAND,LGEN,LGEN,LGEN,LGEN,LGEN,LGEN,LGEN
52,LSE,LGEN,LGEN,LLOY,LLOY,LLOY,LLOY,LLOY,LLOY,LLOY
53,MCRO,LLOY,LLOY,LSE,LSE,LSE,LSE,LSE,LSE,LSE
54,MKS,LSE,LSE,MCRO,MCRO,MCRO,MCRO,MCRO,MCRO,MNG
55,MNG,MCRO,MCRO,MDC,MKS,MKS,MKS,MKS,MKS,MGGT
56,MRO,MDC,MDC,MKS,MNG,MNG,MNG,MNG,MNG,MRO
57,MNDI,MKS,MKS,MNG,MRO,MRO,MRO,MRO,MRO,MNDI
58,MRW,MNG,MNG,MRO,MNDI,MNDI,MNDI,MNDI,MNDI,MRW
59,NG.,MRO,MRO,MNDI,MRW,MRW,MRW,MRW,MRW,NG.
60,NXT,MNDI,MNDI,MRW,NG.,NG.,NG.,NG.,NG.,NXT
61,OCDO,MRW,MRW,NG.,NXT,NXT,NXT,NXT,NXT,NMC
62,PFG,NG.,NG.,NXT,NMC,NMC,NMC,NMC,NMC,OCDO
63,PSON,NXT,NXT,NMC,OCDO,OCDO,OCDO,OCDO,OCDO,PSON
64,PSN,NMC,NMC,PSON,PSON,PSON,PSON,PSON,PSON,PSN
65,PRU,PSON,PSON,PSN,PSN,PSN,PSN,PSN,PSN,PHNX
66,RB.,PSN,PSN,PRU,PRU,PRU,PRU,PHNX,PHNX,POLY
67,REL,PRU,PRU,RB.,RB.,RB.,RB.,PRU,PRU,PRU
68,RMG,RB.,RB.,REL,REL,REL,REL,RB.,RB.,RB.
69,RTO,REL,REL,RTO,RTO,RTO,RTO,REL,REL,REL
70,RIO,RTO,RTO,RIO,RIO,RIO,RIO,RTO,RTO,RTO
71,RMV,RIO,RIO,RMG,RMG,RMG,RMV,RIO,RIO,RIO
72,RR.,RMV,RMV,RMV,RMV,RMV,RR.,RMV,RMV,RMV
73,RBS,RR.,RR.,RR.,RR.,RR.,RBS,RR.,RR.,RR.
74,RDSA,RBS,RBS,RBS,RBS,RBS,RDSA,RBS,RBS,RBS
75,RDSB,RDSA,RDSA,RDSA,RDSA,RDSA,RDSB,RDSA,RDSA,RDSA
76,RSA,RDSB,RDSB,RDSB,RDSB,RDSB,RSA,RDSB,RDSB,RDSB
77,SGE,RSA,RSA,RSA,RSA,RSA,SGE,RSA,RSA,RSA
78,SBRY,SGE,SGE,SGE,SGE,SGE,SBRY,SGE,SGE,SGE
79,SDR,SBRY,SBRY,SBRY,SBRY,SBRY,SDR,SBRY,SBRY,SBRY
80,SMT,SDR,SDR,SDR,SDR,SDR,SMT,SDR,SDR,SDR
81,SGRO,SMT,SMT,SMT,SMT,SMT,SGRO,SMT,SMT,SMT
82,SVT,SGRO,SGRO,SGRO,SGRO,SGRO,SVT,SGRO,SGRO,SGRO
83,SN.,SVT,SVT,SVT,SVT,SVT,SN.,SVT,SVT,SVT
84,SMDS,SN.,SN.,SN.,SN.,SN.,SMDS,SN.,SN.,SN.
85,SMIN,SMDS,SMDS,SMDS,SMDS,SMDS,SMIN,SMDS,SMDS,SMDS
86,SKG,SMIN,SMIN,SMIN,SMIN,SMIN,SKG,SMIN,SMIN,SMIN
87,SPX,SKG,SKG,SKG,SKG,SKG,SPX,SKG,SKG,SKG
88,SSE,SSE,SSE,SSE,SSE,SSE,SSE,SPX,SPX,SPX
89,STAN,STAN,STAN,STAN,STAN,STAN,STAN,SSE,SSE,SSE
90,SLA,SLA,SLA,SLA,SLA,SLA,SLA,STAN,STAN,STAN
91,STJ,STJ,STJ,STJ,STJ,STJ,STJ,SLA,SLA,SLA
92,TW.,TW.,TW.,TW.,TW.,TW.,TW.,STJ,STJ,STJ
93,TSCO,TSCO,TSCO,TSCO,TSCO,TSCO,TSCO,TW.,TW.,TW.
94,TUI,TUI,TUI,TUI,TUI,TUI,TUI,TSCO,TSCO,TSCO
95,ULVR,ULVR,ULVR,ULVR,ULVR,ULVR,ULVR,TUI,TUI,TUI
96,UU.,UU.,UU.,UU.,UU.,UU.,UU.,ULVR,ULVR,ULVR
97,VOD,VOD,VOD,VOD,VOD,VOD,VOD,UU.,UU.,UU.
98,WG.,WG.,WG.,WG.,WG.,WG.,WG.,VOD,VOD,VOD
99,WTB,WTB,WTB,WTB,WTB,WTB,WTB,WTB,WTB,WTB
100,WPP,WPP,WPP,WPP,WPP,WPP,WPP,WPP,WPP,WPP
